from,to,Classification,Class,probability
2630,2640,Insignificiant,cheer,0.4027350022421076
1630,1640,Maybe,goal,0.6202101914247669
2135,2145,Insignificiant,goal,0.399748806169214
1135,1145,Insignificiant,goal,0.5664461190188697
3060,3070,Insignificiant,cheer,0.4640791378767186
520,530,Insignificiant,goal,0.5345020783345943
1920,1930,Insignificiant,goal,0.5126951178688723
2920,2930,Insignificiant,goal,0.5831665068909176
925,935,Insignificiant,goal,0.41313776222768617
2720,2730,Insignificiant,goal,0.4927450895090156
1720,1730,Insignificiant,goal,0.5696200241703879
2025,2035,Insignificiant,goal,0.42493644252803797
1025,1035,Insignificiant,goal,0.5886099256501302
2480,2490,Insignificiant,goal,0.5040317057335684
1480,1490,Insignificiant,goal,0.5450968628730196
2385,2395,Insignificiant,goal,0.5538860671886771
1830,1840,Insignificiant,goal,0.5082880288746368
2830,2840,Insignificiant,goal,0.45792610406352885
1385,1395,Insignificiant,goal,0.5203015845022793
260,270,Insignificiant,goal,0.5244054933300851
2860,2870,Insignificiant,goal,0.5906556464225229
1860,1870,Insignificiant,goal,0.5452002996405891
685,695,Insignificiant,goal,0.366625580173274
290,300,Insignificiant,goal,0.5896037798954197
1090,1100,Insignificiant,goal,0.5611001333208683
2090,2100,Insignificiant,goal,0.49684979253045336
1660,1670,Insignificiant,goal,0.4886575231094653
2660,2670,Insignificiant,goal,0.49829009645466243
55,65,Insignificiant,goal,0.5444394863587619
1165,1175,Insignificiant,goal,0.5113518423839926
2165,2175,Insignificiant,goal,0.5836426431340597
635,645,Insignificiant,goal,0.4315270314536634
3030,3040,Insignificiant,cheer,0.4486625379910551
700,710,Insignificiant,goal,0.4337682475396319
20,30,Insignificiant,goal,0.36145306932583315
710,720,Insignificiant,goal,0.5880802669275363
2320,2330,Insignificiant,goal,0.5397342143549378
1320,1330,Insignificiant,goal,0.41281295896481607
2425,2435,Insignificiant,goal,0.49025734918073605
1425,1435,Insignificiant,goal,0.5017832029434626
795,805,Insignificiant,goal,0.5217212448998241
2080,2090,Insignificiant,goal,0.564834457533743
